Name,Price,Image,Rating,Limit
Hotel St. James,"₹ 21,996",https://cf.bstatic.com/xdata/images/hotel/square200/266723109.webp?k=6e8ed359b9920ada80c986daf49a02ffefdc10a6866c2cbe6cc09ed864801de2&o=&s=1,8.2,"2 nights, 2 adults"
Fifty Hotel & Suites by Affinia,"₹ 33,445",https://cf.bstatic.com/xdata/images/hotel/square200/156572344.webp?k=4123da8332ad2939e2330ec0039b3249f5b776ecf41a1dda438b7014f0ba9f1b&o=&s=1,8.0,"2 nights, 2 adults"
Hotel 309,"₹ 16,125",https://cf.bstatic.com/xdata/images/hotel/square200/25370528.webp?k=5ea22538e699191583a194522b19089428fac5f188e793032d46338cb042daa0&o=&s=1,6.6,"2 nights, 2 adults"
Hotel NY Downtown Manhattan,"₹ 24,348",https://cf.bstatic.com/xdata/images/hotel/square200/335806152.webp?k=0991b1e1e20edd5c9a8b37231290a6d6a3b53f965dc262c1facecebd4f3c3b7b&o=&s=1,8.3,"2 nights, 2 adults"
U.S. Pacific Hotel,"₹ 11,332",https://cf.bstatic.com/xdata/images/hotel/square200/151784119.webp?k=ea05fff5c7d860c5f80667d02dd82f317ef71a91b9b902e15d7f1f19e9596909&o=&s=1,6.1,"2 nights, 2 adults"
Hotel Henny,"₹ 15,160",https://cf.bstatic.com/xdata/images/hotel/square200/325869886.webp?k=0d1bcd07a54059e23609f47c9ac43855060eb197a610363377b12ec551f53a6c&o=&s=1,5.1,"2 nights, 2 adults"
The Jane Hotel,"₹ 15,160",https://cf.bstatic.com/xdata/images/hotel/square200/135475647.webp?k=d13bf7cf7565dfdf7675c3f054605a5cfc24f6444d77c9ce890419875104027e&o=&s=1,7.9,"2 nights, 2 adults"
The Park Ave North,"₹ 14,395",https://cf.bstatic.com/xdata/images/hotel/square200/62116886.webp?k=be40ae92311e9cbc051c3248a608264e0b410180bb413976f5e2d4ea181abd11&o=&s=1,7.6,"2 nights, 2 adults"
Windsor Hotel,"₹ 14,382",https://cf.bstatic.com/xdata/images/hotel/square200/10764652.webp?k=141d4aa33171f5dd28f8eba85ca4382dcdfaaccd91e68e5445a01ef450e31240&o=&s=1,6.1,"2 nights, 2 adults"
SoBe New York Lux Midtown Hotel,"₹ 12,105",https://cf.bstatic.com/xdata/images/hotel/square200/328705916.webp?k=fbe9a7b9297efd5c6d1f65314720e3b1151537c51e4ec308b411cfec75ba1a0c&o=&s=1,7.3,"2 nights, 2 adults"
Colonial House Inn,"₹ 22,840",https://cf.bstatic.com/xdata/images/hotel/square200/4410146.webp?k=242fd32664ce9507def266f14822f803259fdbcaaf1e3ea24d41185958f145a0&o=&s=1,8.3,"2 nights, 2 adults"
Da Vinci Hotel,"₹ 27,105",https://cf.bstatic.com/xdata/images/hotel/square200/38804249.webp?k=dcec148aa87c3d53a79c98512cf2740ae47330e4aa98d63625bd75806606f41f&o=&s=1,7.6,"2 nights, 2 adults"
The William,"₹ 59,646",https://cf.bstatic.com/xdata/images/hotel/square200/26429144.webp?k=86c59b74b7c17a5f1fb6627ab8de98dafa4c8ea22806cd0587083e21f20a3f06&o=&s=1,8.5,"2 nights, 2 adults"
HI NYC Hostel,"₹ 38,590",https://cf.bstatic.com/xdata/images/hotel/square200/13011414.webp?k=b4ba9c68b575870209f4d84493ae8b4f02699ff417091f397a2a7e1dff4583b4&o=&s=1,8.4,"2 nights, 2 adults"
Park West Hotel,"₹ 18,482",https://cf.bstatic.com/xdata/images/hotel/square200/127194850.webp?k=d4738451e21f2fff02ea1cbd5c1d01533eb7fc15092bf2a329b1d7f8063c1621&o=&s=1,6.4,"2 nights, 2 adults"
31 Street Broadway Hotel,"₹ 8,729",https://cf.bstatic.com/xdata/images/hotel/square200/264754987.webp?k=3c7ba8cf3e2d309b63a2261d46e4e0eea0ff8690219fa7774cfdc59172a88bab&o=&s=1,4.2,"2 nights, 2 adults"
"Holiday Inn Manhattan Financial District, an IHG Hotel","₹ 22,404",https://cf.bstatic.com/xdata/images/hotel/square200/246994651.webp?k=6dae1a15a0e56065ef71b551f47fe971dde0431294f315698d9aa8e7d7fc1763&o=&s=1,8.0,"2 nights, 2 adults"
"Hotel Shocard, New York","₹ 18,744",https://cf.bstatic.com/xdata/images/hotel/square200/69063746.webp?k=2caf8481bf16a9badb17d5c66f75e42b9888f8719df5a254c330aee76fa6bc68&o=&s=1,7.8,"2 nights, 2 adults"
Best Western Premier Empire State Hotel,"₹ 31,927",https://cf.bstatic.com/xdata/images/hotel/square200/328047798.webp?k=4e6d37a824b3bff821c5a50db5aff4e488e2c74847d0b27c152b64cf0a016acc&o=&s=1,8.3,"2 nights, 2 adults"
Sonder Battery Park,"₹ 26,944",https://cf.bstatic.com/xdata/images/hotel/square200/274525001.webp?k=f83c433fb3142f148a374c8e0ba7286ca0cbc4d493eb0e52c63a7a432a067585&o=&s=1,8.8,"2 nights, 2 adults"
Henn na Hotel New York,"₹ 29,708",https://cf.bstatic.com/xdata/images/hotel/square200/321719259.webp?k=42eecaff704c72cfa44eeed89e692ced90438fae8d18904625eac3d900cd3e92&o=&s=1,8.7,"2 nights, 2 adults"
Chelsea Rooms NYC,"₹ 20,673",https://cf.bstatic.com/xdata/images/hotel/square200/318397455.webp?k=4948125fab863c2f50afcaf30a866f46b9c57f178be8f728635f86ae97776a14&o=&s=1,8.0,"2 nights, 2 adults"
Riu Plaza Manhattan Times Square,"₹ 42,726",https://cf.bstatic.com/xdata/images/hotel/square200/340258150.webp?k=9467df0b5daf20ecb524038f8fbe033a20898ef1eb33cb4a7e8bb35cdd108e4a&o=&s=1,8.5,"2 nights, 2 adults"
Washington Square Hotel,"₹ 33,478",https://cf.bstatic.com/xdata/images/hotel/square200/16432637.webp?k=c58f636c0efd046e58ab24f61531e2bdbca111fdd1b4b5220db214280c7d00d3&o=&s=1,8.6,"2 nights, 2 adults"
Carlton Arms Hotel,"₹ 19,908",https://cf.bstatic.com/xdata/images/hotel/square200/212107282.webp?k=6d93153d98e431cb0ec4431318faa1fd1a8a89a90f6c550c52b9919787d68067&o=&s=1,7.5,"2 nights, 2 adults"
